product_category_name,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,product_category_name_english
bebes,52f166ce5fa053bbb27d317e4fd231b7,1b848bc58de81ae1b800cf3a4571bedf,delivered,2018-04-18T20:13:31.0000000,2018-04-18T20:32:54.0000000,2018-04-20T22:38:37.0000000,2018-04-26T20:11:48.0000000,2018-05-11T00:00:00.0000000,2db7f214cad74f77bf16ddd07ec20b35,17606,tupa,SP,1,credit_card,4,446.51001,1,63085bb4366ded27bcb63cbb59b4103a,5dceca129747e92ff8ef7a997dc4f8ca,2018-04-24T20:30:57.0000000,428,18.51,53,872,2,13100,38,47,44,13450,santa barbara d´oeste,SP,baby
automotivo,e659b8223be6f632acb24fb80cf50ca9,9ac71dee8847ffe35fb2c087da733cc4,delivered,2017-11-18T11:30:58.0000000,2017-11-18T11:47:19.0000000,2017-11-20T14:59:10.0000000,2017-12-08T17:29:17.0000000,2017-12-18T00:00:00.0000000,178517ea7fc752dbcbfcad925153cf94,55014,caruaru,PE,1,credit_card,4,87.2099991,1,d899e614656fe7bddd577dcfe583d19c,6a8b085f816a1f75f92dbac6eb545f8f,2017-11-23T11:47:19.0000000,61.5,25.71,56,893,3,100,24,2,17,14709,bebedouro,SP,auto
informatica_acessorios,813f8916cd12b887b0fa271f3263a4d3,bf22881f1f23a79916784ac5b4319c56,delivered,2017-04-13T17:26:06.0000000,2017-04-13T17:42:10.0000000,2017-04-18T14:51:38.0000000,2017-05-09T12:49:59.0000000,2017-05-10T00:00:00.0000000,c6d04cc582cb4e8488bc99994c62e6ed,6080,osasco,SP,1,credit_card,1,42.4199982,1,a35a9f46dcee0a67c8c7ad8493eb4135,85d9eb9ddc5d00ca9336a2219c97bb13,2017-04-20T17:42:10.0000000,27.9,14.52,33,1084,2,200,41,2,29,31255,belo horizonte,MG,computers_accessories
automotivo,446e20f85f1b9cf552376d6f31c983b2,db6505328f042b7f4fae7d80f3b0515f,delivered,2018-02-23T13:12:12.0000000,2018-02-27T05:31:00.0000000,2018-02-27T20:13:18.0000000,2018-03-06T23:49:06.0000000,2018-03-15T00:00:00.0000000,2575b93f24ae722702825789254eaa1a,4447,sao paulo,SP,1,boleto,1,89.1100006,1,9e28a904bf99a4b3d1548580a906b3e7,7142540dd4c91e2237acb7e911c4eba2,2018-03-05T04:11:27.0000000,59.9,29.21,56,651,5,11200,78,4,47,16301,penapolis,SP,auto
cama_mesa_banho,7209ce21354cff1e1957b42ea0a76cd1,d2000bb65d12d7c93b7e27e6c961757d,delivered,2018-01-11T22:59:49.0000000,2018-01-11T23:10:26.0000000,2018-01-13T15:33:47.0000000,2018-01-18T21:42:54.0000000,2018-01-26T00:00:00.0000000,f81ad6f6ac826325fd953e470dc63a1a,8265,sao paulo,SP,1,credit_card,8,162.649994,1,ddb9028236525b8ab493fc24f99e8d1a,da8622b14eb17ae2831f4ac5b9dab84a,2018-01-17T23:10:26.0000000,149.9,12.75,60,268,1,1800,34,7,32,13405,piracicaba,SP,bed_bath_table
informatica_acessorios,75d1b089800a77f3c4b653e297632423,5a5bee06f22d5f03e2d648c82571b4ba,delivered,2018-08-14T11:16:44.0000000,2018-08-14T11:44:06.0000000,2018-08-17T13:35:00.0000000,2018-08-21T11:48:48.0000000,2018-09-05T00:00:00.0000000,59bb10015afb7afabc67252dbbf21985,26285,nova iguacu,RJ,1,credit_card,2,41.2599983,1,a35a9f46dcee0a67c8c7ad8493eb4135,85d9eb9ddc5d00ca9336a2219c97bb13,2018-08-27T11:44:06.0000000,24.9,16.36,33,1084,2,200,41,2,29,31255,belo horizonte,MG,computers_accessories
informatica_acessorios,4254f084673c8b5d85ad824fae3aa522,dc0617ac29c280d79e4e2930274342ed,delivered,2017-08-11T21:01:02.0000000,2017-08-12T20:55:11.0000000,2017-08-16T19:09:23.0000000,2017-08-17T17:51:59.0000000,2017-08-25T00:00:00.0000000,34ad8eecb58cca3f3fdc65e91c3ccd81,2651,sao paulo,SP,1,credit_card,5,275.109985,1,fa4e8255202fd921350a6fc716710dae,2b3e4a2a3ea8e01938cabda2a3e5cc79,2017-08-18T20:55:11.0000000,265.99,9.12,51,2025,2,350,20,5,20,4733,sao paulo,SP,computers_accessories
bebes,7388afc4743da7d6e532b7fd086b4357,986c590aed8ad278ffc220f81b2d8e4f,delivered,2017-09-28T08:54:23.0000000,2017-09-29T02:14:16.0000000,2017-10-05T18:00:09.0000000,2017-10-16T19:43:41.0000000,2017-10-25T00:00:00.0000000,4173a58ff83790b84c371f56879b5227,28735,quissama,RJ,1,boleto,1,217.779999,1,83b00325c13c44245b2c3a2befa62a0e,ad781527c93d00d89a11eecd9dcad7c1,2017-10-05T02:14:16.0000000,159.99,57.79,56,621,1,10700,40,40,40,15015,sao jose do rio preto,SP,baby
automotivo,37575790ea3501cfd8c51bfe42e08950,6877b5e3cdd8a9efac00e34fcaa4e02e,delivered,2018-06-09T11:03:36.0000000,2018-06-09T11:15:16.0000000,2018-06-11T14:21:00.0000000,2018-06-13T18:49:35.0000000,2018-06-20T00:00:00.0000000,8efe2ca61964c32fcd3d794ba929c10d,13212,jundiai,SP,1,credit_card,2,35.7799988,1,777c635c0e75758c283037a6ae684c20,ce616e1913288884e7742faac9d981db,2018-06-14T11:15:16.0000000,26.9,8.88,45,140,4,600,16,14,13,6711,cotia,SP,auto
esporte_lazer,bc5cea9719955b2337f23a87db809566,d605f9f01f069c8665dba62d0d8de501,delivered,2017-11-12T17:39:03.0000000,2017-11-14T10:27:40.0000000,2017-11-16T18:43:46.0000000,2017-11-24T18:52:56.0000000,2017-12-04T00:00:00.0000000,d636819974225176f4e4983badc49539,29166,serra,ES,1,boleto,1,41,1,4e04b7c4ec31cc8172cf3e5b863d34d0,6edacfd9f9074789dad6d62ba7950b9c,2017-11-21T10:27:10.0000000,26.9,14.1,58,493,6,200,16,10,11,7135,guarulhos,SP,sports_leisure
telefonia,fa77901ba32818c037de356056fd2a6d,f2c08c6a66c51cae87e9c931f97a022d,delivered,2018-08-10T13:14:02.0000000,2018-08-10T13:25:11.0000000,2018-08-10T15:51:00.0000000,2018-08-15T16:21:25.0000000,2018-08-24T00:00:00.0000000,31d29e85e904e0b8ffa2af37319cb8a9,35763,inhauma,MG,1,credit_card,4,43.2700005,1,694cbe624717957c7536ef8cd9dfbf57,562fc2f2c2863ab7e79a9e4388a58a14,2018-08-14T13:25:11.0000000,24.99,18.28,58,678,1,150,17,8,14,13070,campinas,SP,telephony
utilidades_domesticas,a1f24dcf6e5fc6b0f0cd0b265381767e,15f73cd40ee94734ce2f3ebce168f1ba,delivered,2017-09-27T11:50:27.0000000,2017-09-27T12:07:16.0000000,2017-10-04T10:17:31.0000000,2017-10-11T19:25:26.0000000,2017-10-19T00:00:00.0000000,9be795e932593ec0c21cdfa19799b5cf,19610,agisse,SP,1,credit_card,2,56.3699989,1,9348fe8a0886b99d1c5d33c28fb0aa48,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-10-03T12:07:16.0000000,43,13.37,55,659,1,1150,30,30,30,13920,pedreira,SP,housewares
informatica_acessorios,332ca38a4294471ec2b7ebbff5275d23,3355a05f13842dd7a905ccd6240bfc4c,delivered,2017-03-27T20:01:30.0000000,2017-03-27T20:10:23.0000000,2017-03-28T18:13:57.0000000,2017-04-03T14:23:04.0000000,2017-04-13T00:00:00.0000000,87a6eb7172c457864c9b98079bc4d19e,15041,sao jose do rio preto,SP,1,credit_card,4,40.7000008,1,4c82c8d31845d751d797debc3d03697f,ce27a3cc3c8cc1ea79d11e561e9bebb6,2017-03-31T20:10:23.0000000,29.74,10.96,51,872,6,145,16,9,13,3006,sao paulo,SP,computers_accessories
cool_stuff,2de5b68f713b073b77fda04cb4868443,b3ef2e15b1f2d5598a28e08e3536542b,delivered,2017-12-05T14:10:07.0000000,2017-12-06T12:51:11.0000000,2017-12-07T18:57:57.0000000,2017-12-09T14:07:07.0000000,2017-12-28T00:00:00.0000000,106fc159590d2e39a532f3f56259df49,4501,sao paulo,SP,1,boleto,1,59.9900017,1,1a3c44587dd8d3db5f2447078bc50d75,3078096983cf766a32a06257648502d1,2017-12-12T12:51:11.0000000,47.3,12.69,39,750,1,300,24,12,17,13720,scao jose do rio pardo,SP,cool_stuff
